year,month,warning_colors,days,warning_element
2018,3,red,6,snow_ice
2018,2,red,4,snow_ice
2018,1,red,1,snow_ice
2017,12,no-warning,30,normal
2017,11,no-warning,30,normal
2017,10,red,6,wind
2017,9,no-warning,30,normal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2017,8,no-warning,30,normal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2017,7,no-warning,30,normal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015,12,red,2,rainfall
2015,11,no-warning,30,normal
2015,10,no-warning,30,normal
2015,9,no-warning,30,normal
2015,1,red,2,wind
2014,2,red,1,wind
2013,12,red,4,wind
2013,11,red,5,wind
2013,10,red,6,wind
2013,9,no-warning,30,wind
2013,8,no-warning,30,wind
2013,7,no-warning,30,wind
2013,6,no-warning,30,wind
2013,5,no-warning,30,wind
2013,4,no-warning,30,wind
2013,3,red,5,wind
2013,2,red,7,wind
2013,1,red,4,wind
2012,12,red,5,wind
2012,11,red,3,wind
